,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
165,sunlei_1993,CSE@UCSD,AD无奖,MS,CS,103（24）,159+170+3.0,Comp Sci. , SYSU+HKUST(2+2 Program),  三点九九/四点三,HKUST 三点八,,15Fall,2014-12-15,美国
166,nickyzhi,UTD,AD无奖,PhD,CS,94（22）,154+168+3,信息工程 , BUPT,  84/100, 本科其他211,老师是清华老板推荐的,15Fall,2014-12-26,美国
167,dengdengdeng,"UPenn, UChicago",Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-15,美国
168,fwtan,UVA,Offer,PhD,CS,R30+L29+S20+W27=106,V151+Q166+AW4.0,Math , SYSU,  89/100, 本科Top15 211,两篇不错的文章，均非一作，新加坡RA经历。,15Fall,2014-12-15,美国
169,schnappi,KU,Rej,MS,CS,99(20),152+165,信息工程 , BUPT,  3.2, 本科Top30 211,,15Fall,2015-01-05,美国
170,simonw27,CMU INI-Kobe,Offer,MS,CS,109 S22,V168 Q170 AW3.5,软件 , 复旦大学,  低！, 本科：南大，浙大，复旦，上交,,15Fall,2015-01-05,美国
171,pacman,CGGT@UPenn,Rej,MS,CS,108,324+3.5,EE , USTC,  3.42/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-10-26,美国
172,whyvic13,UPenn,Rej,MS,CS,101(23),150+170+3.5,Information Security , NUAA,  89/100, 本科其他211,无,15Fall,2014/11/14,美国
173,bjtuharris,IUB,Offer,PhD,CS,106/26,318+3.5,EE , BUPT,  89, 本科Top15 211,,15Fall,2014-11-15,美国
174,jiangsl,WUSTL,Offer,PhD,CS,95（20）,155+168+3.0,CS , 天津大学,  3.66/4, 本科Top30 211,4篇二作文章，其中两顶会,15Fall,2015-01-15,美国
175,TH999,University of Chicago,Offer,PhD,CS,114,330,Computer Science , ,  ,,One research project,15Fall,2015-01-07,美国
176,ForTheAC2015,CS@UWaterloo,Offer,MS,CS,103(s23),325(AW3.0),Software Engineering , TJU,  Department calculated, 89.72,一些水实习,15Fall,2015-02-03,加拿大
177,muybienw,CSE@UCSD,AD无奖,MS,CS,114（s27）,160+170+3.5,CS , ZJU,  3.65/4（83）, 本科：南大，浙大，复旦，上交,,15Fall,2014-11-27,美国
178,mengqwang2,UCSD,AD无奖,MS,CS,111(26),159+168,CS , CityU,  3.83/4.3, 海本,,15Fall,2014-12-15,美国
179,wangsl11,UCSD,AD无奖,MS,CS,106 (S20),V157+Q170+4.0,CS , THU,  91.5/100, 本科：北大，清华，科大，中科院，特色学校牛专业,None,15Fall,2014-12-12,美国
180,hymhjh,SIT,AD无奖,MS,CS,93,315,交通工程 , ,  87, 本科Top15 211,,15Fall,2015-01-03,美国
181,piqi888,CMU-ECE,Offer,混合,CS,,,, ,  , 海本,,15Fall,2014-12-01,美国
182,let_it_be,Cornell,Offer,PhD,CS,waived,"330+, aw=4.0","CS,Math ", ,  3.9+, 海本,,15Fall,2014-12-15,美国
183,mkithappen,NJIT,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-11-25,美国
184,tobyljj,GroupLens@University of Minnesota,Offer,PhD,CS,Waived,159+170+4,CS , University of Minnesota,  , 海本,,15Fall,2014-12-01,美国
185,creambagel,MIT,Offer,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-01,美国
186,coperdli,CS@WUSTL,Offer,PhD,CS,98(S20),"V158, Q170, AW3.5",CS , WHU,  , 本科Top15 211,两个导师，一个课程老师 (均非牛推，但前两个老师自己跟着做过科研的),15Fall,2014-12-31,美国
187,hadoopG,CS@GWU,AD无奖,MS,CS,,,网络工程 , BUPT,  80 网申都填的3.0, 本科其他211,,15Fall,2014-12-15,美国
188,geminiiiiiii,UTD,AD无奖,MS,CS,95（20）,152+170+3,测绘 , HHU,  4.9/5.0（我们学校不算选修课）ranking 1/87, 本科其他211,无,15Fall,2014-12-26,美国
189,Lorreina,Scientists and Engineers@USC,AD无奖,MS,CS,"110(R29, L29, S26, S26)","324(V154, Q170) AW 3.5",信息管理与信息系统 , ,"  GPA 90.3/100, WES 3.85, rank 1/23", 本科Top15 211,,15Fall,2014-12-02,美国
190,HappyZhou,USC,AD无奖,MS,CS,99(S23),320(150+170+3.5),CS , ,"  89/100, Ranking", 2%,水实习,15Fall,2014-12-04,美国
191,ethanle,SIT,AD无奖,MS,CS,98,318,通信工程 , UESTC,  3.76/4, 本科Top30 211,没文章，没牛项目,15Fall,2015-01-07,美国
192,苹果,"NYU-Poly, Imperial College",AD小奖,MS,CS,109,323+3.5,EE , SEU,  3.88/4 (Transcrip), 本科Top15 211,"1 SCI, 1 Conference （ First Author, 与申请反响无关）",15Fall,12月下旬,美国
193,devarenacn,University of Delaware,Rej,MS,CS,107,316,通信工程 , ,  3.2/4, 本科非211,1牛推，国家级竞赛三等奖一份,15Fall,2014-10-25,美国
194,Naruremodopris,MIT,Rej,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-10,美国
195,provhomme,IIT,AD无奖,MS,CS,"99, S(24)",304+3,Bio , ,  3.4, 本科非211,,15Fall,2015-01-15,美国
196,icebear,USC,AD无奖,MS,CS,,,SE , ,  , 本科Top30 211,,15Fall,2014-12-01,美国
197,Yuao_Liu,USC,AD无奖,MS,CS,97(20),316+3,CS , cqupt,"  overall gpa 88/100,3.6/4 major 90/100,3.78/4", 本科非211,2年实验室水经历，EI会议4作*2，一堆课程项目，以及欧洲工业界华人RL(算牛腿吗？),15Fall,2014-12-22,美国
198,nanmanxiaozhu,UCSD,AD无奖,MS,CS,102(22),154+169+3.0,, ,  87/100, 本科Top15 211,,15Fall,2014-12-08,美国
199,ChanCheng,UCSD,AD无奖,MS,CS,108 (24),152 + 170 + 3.5,CS , ZJU,  3.84/4.0 (88), 本科：南大，浙大，复旦，上交,MS 暑期实习,15Fall,2014-12-15,美国
200,ternencel,WPI,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-28,美国
201,usa521,WPI 伍斯特理工,Rej,MS,CS,101（22）,319+3.0,通信工程 , ,  87.54/100, 本科Top30 211,,15Fall,2014-12-31,美国
202,hammer9132,WPI,AD无奖,PhD,CS,107,314,软件工程（日语强化） , 大连理工大学,  , 本科Top30 211,详见个人主页,15Fall,2014-11-12,美国
203,wsd10,CMU,WaitingList,MS,CS,101,320,工程物理 , 清华大学,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,美国教授推荐信一封,15Fall,2014-12-15,美国
204,crazyrunner,CS@Rice,Rej,PhD,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-14,美国
205,jessicaji,university of notre dame,Offer,PhD,CS,100,320,applied math , ,  18/220, 本科：南大，浙大，复旦，上交,,15Fall,2015-01-16,美国
206,Naruremodopris,UW,Offer,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-10,美国
207,perfectionming,MIT,Offer,PhD,CS,114,327+4.5,EE , ,  3.99, 海本,conf paper两篇，一作和二作，但是都不是申请方向。还在进行的毕业设计很decent。推荐信都不是老教授牛腿，一封MIT校友，我猜了解程度最重要吧。,15Fall,2014-12-05,美国
208,Firework,MIT,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
209,m4reiiy,Stanford,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
210,pacman,UTDallas,AD无奖,MS,CS,108,324+3.5,EE , USTC,  3.42/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-10-27,美国
211,billjyc,GWU,AD无奖,MS,CS,100(S19),V153+Q170+AW3.5,软件工程 , 南京大学,"  4.16/5,  排名29/198", 本科：南大，浙大，复旦，上交,,15Fall,2015-01-13,美国
212,vicky95,WPI,AD无奖,MS,CS,92(22),150+170+3.0,SE , SCU,  84.5, 本科Top30 211,,15Fall,2014-12-27,美国
213,cocoabean,WPI,AD无奖,MS,CS,99(20),318 + 3,cs , ZJUT,  85.4, 本科非211,水实习，水科研,15Fall,2014-12-30,美国
214,lisawangqian,UChicago,AD无奖,MS,CS,,,Biotech , ,  , 本科：南大，浙大，复旦，上交,,15Fall,2015-01-07,美国
215,罗大宝,CMU,AD无奖,MS,CS,108(S20),152+168+3.5,Software Engineering , ZJU,  3.77/3.92(Major), 本科：南大，浙大，复旦，上交,硅谷实习一年VP推荐信*1/美赛小奖/Google女性奖学金/PKU实验室超短期酱油,15Fall,2014-12-01,美国
216,xchenan,Carnegie Mellon University,AD无奖,MS,CS,104(26),151+170+3.0,Computer Engineering , SYSU+HKUST,  3.8+3.75,,在印度Infosys Limited 实习一个半月,15Fall,2014-12-05,美国
217,whdawn,Rice University,AD无奖,MS,CS,100 (23),154+167+3,EE , CQU,  89/100, 本科Top30 211,,15Fall,2014-11-25,美国
218,JoeWest,JHU,AD无奖,混合,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-03,美国
219,nickyzhi,WPI,Rej,MS,CS,,,, bupt,  , 本科其他211,定位贴 http://www.1point3acres.com/bbs/thread-107062-1-1.html,15Fall,2014-12-01,美国
220,bob121212,"UWM,",AD无奖,PhD,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-11-15,美国
221,bjtuharris,WUSTL,Rej,PhD,CS,106/26,318+3.5,EE , ,  3.5/4.0, 本科Top15 211,,15Fall,2014-12-13,美国
222,bigkiss0604,WUSTL,Rej,PhD,CS,94,317,, ,  79/100, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-01-15,美国
223,markqzheng,Washington University in St. Louis,Rej,PhD,CS,96(20),324+3.0,, ,  3.3/4.0, 本科Top15 211,"3篇一般论文（2 first-author, 1 third-author）",15Fall,2015-01-05,美国
224,perfectionming,Stanford,Rej,PhD,CS,,,, ,  ,,,15Fall,2014-12-04,美国
225,Naruremodopris,Stanford,Rej,PhD,CS,,,, ,  ,,,15Fall,2014-12-09,美国
226,mrholiday,University of Utah,Offer,PhD,CS,26+28+24+27=105,V152 Q164 AW3.5,计算机 , ,  3.6, 本科其他211,,15Fall,2014-12-15,美国
227,morph,"Stanford, CMU, UW",Offer,PhD,CS,,,CS , ,  , 海本,,15Fall,2015-02-07,美国
228,tobyljj,dub - University of Washington,Offer,PhD,CS,,,CS , GroupLens , University of Minnesota,  ,,15Fall,2014-12-01,美国
229,Firework,UW,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
230,HeHePHD,UChicago,Offer,PhD,CS,30+30+24+28,"164,169,3.5",, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-01-06,美国
231,luzc,University of Toronto,Offer,MS,CS,107(23),"155+170,3.5",EE , THU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,牛推，海外实习,15Fall,2014/12/15,加拿大
232,jerryzh,University of Toronto,Offer,MS,CS,106,161+170+3.5,CS , ZJU,  top 10%, 本科：南大，浙大，复旦，上交,短期水交流水实习,15Fall,2014-12-07,加拿大
233,哈巴崽,University of Toronto,Offer,MS,CS,waive,319 + 3,CS , CityU,HK,  3.5/4,,15Fall,2014-12-15,加拿大
234,jerryzh,University of Waterloo,Offer,MS,CS,,,CS , ZJU,  top10%, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-12,加拿大
235,fasthall,UCSB,Offer,PhD,CS,110,326,CS , 台灣清華,  85.68,,無著作 有startup經驗,15Fall,2014-12-11,美国
236,slxu,Stanford,Offer,PhD,CS,107,318,CS , USTC,  ,,,15Fall,2014-10-30,美国
237,南慕伦,CS@CMU,AD无奖,MS,CS,28 26 23 29,150 170 3,计算机科学与技术 , 复旦大学,  3.62/4, 本科：南大，浙大，复旦，上交,Morgan Stanley 暑期实习Boss(ED)推荐/1篇方向相关论文四作under review,15Fall,2014-12-01,美国
238,sunlei_1993,MIIS@CMU,AD无奖,MS,CS,,,, ,  ,,http://www.1point3acres.com/bbs/thread-115974-1-1.html,15Fall,2014-12-15,美国
239,luang008,MIIS@CMU,AD无奖,MS,CS,102(20),153+170+3.0,automation , THU,  88/100, 本科：北大，清华，科大，中科院，特色学校牛专业,Uchicago(TTIC) intern/1 paper submitted to NAACL2015,15Fall,2014-12-15,美国
240,筱瞳,CMU,AD无奖,MS,CS,102(S23),157+167+3.5,电子商务 , ,  , 海本,无论文，NLP只做了一个项目，牛推,15Fall,2014-12-14,美国
241,gc1993114,MIIS@CMU-LTI,AD无奖,MS,CS,,,, SJTU,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
242,Lorreina,CMU@LTI,AD无奖,MS,CS,"110(R29, L29, S26, S26)","324(V154, Q170) AW 3.5",信息管理与信息系统 , ,"  GPA 90.3/100, WES 3.85, rank 1/23", 本科Top15 211,,15Fall,2014-12-03,美国
243,lyzstc,CMU,AD无奖,MS,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-15,美国
244,zrw93,Wisconsin-Madison,AD无奖,MS,CS,,,CS , SJTU,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-01,美国
245,AspirinSJL,UW-Madison,AD无奖,MS,CS,,,CS , 复旦,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
246,sunlei_1993,UW-Madison,AD无奖,MS,CS,,,, ,  ,,"交了四封推荐信,一封是UW-Madison的Ph.D., 不过只是上过她两次课",15Fall,2014-12-15,美国
247,miss_snow,UWM,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-11-28,美国
248,yummy1221,UWM,AD无奖,MS,CS,,,SE , WHU,  , 本科Top15 211,,15Fall,2014-11-07,美国
249,alpb0130,UW Madison,AD无奖,PhD,CS,,,Software Engineering , JLU,  , 本科Top15 211,,15Fall,2014-12-15,美国
250,tobyljj,Stanford University,Rej,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-09,美国
251,perfectionming,Stanford,Rej,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-04,美国
252,Firework,Stanford,Rej,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
253,DreamLinuxer,CS@Stanford,Rej,PhD,CS,,,CS , NCTU,  ,,,15Fall,2014-12-01,美国
254,poiiopppooii,Stanford,Rej,PhD,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-15,美国
255,奇迹,CS@CMU,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
256,Naruremodopris,Columbia University,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-07,美国
257,ArtisticLife,CMU,AD无奖,MS,CS,106 (S24),325 + 3,Communication Engineering , BUPT,  89+/100, 本科其他211,,15Fall,2014-12-15,美国
258,玉宇清澄,TAMU,Offer,PhD,CS,丢脸 90 （20）,丢脸 314（3）,CS , 普通二本,"  87/100, 6/265", 本科非211,两篇paper 3年研究经历,15Fall,2014-12-20,美国
259,xlhdh,LTI@CMU,Rej,混合,CS,,,, ,  , 海本,,15Fall,2014-12-02,美国
260,HackerYoung,PhD/LTI@CMU,Rej,混合,CS,111(23),157+170+3.5,CS , 港本,  3.78/4, 海本,,15Fall,2014-12-02,美国
261,zhoujl10,MIIS@CMU,Rej,MS,CS,109,156+170+4.0,, 清华大学,  88, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-02,美国
262,zhangyue823,WPI CMU@Biz  特拉华,Rej,MS,CS,,,自动化 , 同济,  3.2, 本科Top15 211,,15Fall,2014-12-17,美国
263,sliu,CMU,Rej,MS,CS,,,, ,  ,,,15Fall,2014-12-14,美国
264,默de途,CMU,Rej,MS,CS,102(S22),153+168+3,光电 , 电子科大,  90     1/180, 本科Top30 211,无,15Fall,2014-12-02,美国
265,uranus23,CMU,Rej,MS,CS,105(22),154+168+3,SE , SCUT,  , 本科Top30 211,,15Fall,2014-12-02,美国
266,wangergou,CMU LTI MIIS,Rej,MS,CS,,,, ,  ,,,15Fall,2014-12-15,美国
267,wwtwxlwjh,MIIS@CMU,Rej,MS,CS,101,152+169+3,Information Engineering , BUPT,  overall 87.3,,,15Fall,2014-12-15,美国
268,EroicaCMCS,MIIS@CMU,Rej,MS,CS,,,, ,  , 本科非211,,15Fall,2014-12-15,美国
269,whdawn,CMU,Rej,MS,CS,100 (23),154+167+3,EE , CQU,  89/100, 本科Top30 211,一个加拿大副教授强推,15Fall,2014-11-30,美国
270,wryswa,CMU,Rej,MS,CS,108 (s23),159+170+3.5,CS , 大连理工,  91.9, 本科Top30 211,,15Fall,2014-12-15,美国
271,Frankluo,CS(MIIS)@CMU,Rej,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-15,美国
272,小赖、,MIIS@CMU,Rej,MS,CS,99（20）,156+168+3.5,Automation , BUAA,  91.4/100, 本科Top15 211,,15Fall,2014-11-28,美国
273,alpb0130,MIIS@CMU,Rej,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-15,美国
274,A30041839,Cmu,Rej,MS,CS,104,159+170,Applied mathematics , Buaa,  , 本科Top15 211,,15Fall,2014-12-15,美国
275,youlixiang,MIIS@CMU,Rej,MS,CS,107,320+4,, ,  , 海本,,15Fall,2014-12-15,美国
276,stormmax,MIIS@CMU,Rej,MS,CS,106(s24),v157+q170+aw3,, ,  4.46/5.0, 本科Top15 211,,15Fall,2014-12-15,美国
277,fanzy,mlt@cmu,Rej,MS,CS,,,se , scut,  , 本科Top30 211,,15Fall,2014-12-01,美国
278,yjn93,MIIS@CMU,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-18,美国
279,liukailzb,UTK,Offer,PhD,CS,92(S19),162+148+3.0,CS , 山东财经大学,  2.45/4, 本科非211,CCS poster（安全方向顶会）,15Fall,2014-12-17,美国
280,xlhdh,UTD,Offer,PhD,CS,,329,, ,  , 海本,,15Fall,2014-12-01,美国
281,coperdli,UNC-CH,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-16,美国
282,低调奢华,UCI offer Wisconsin拒（妈蛋不能双飞）,Offer,PhD,CS,,,CS , HIT,  1/4, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-10,美国
283,tailofjune,UCSD,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-29,美国
284,hsama,UCSD,AD无奖,MS,CS,104,322/3.5,CS , SJTU,  88.3, 本科：南大，浙大，复旦，上交,有个比较厉害的老师的推荐信啦,15Fall,2014-12-15,美国
285,恋清树,UCSD,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-07,美国
286,simonsong,SIT,AD无奖,MS,CS,81,312,, ,  3.41, 本科Top15 211,,15Fall,2015-01-08,美国
287,tailofjune,CMU,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-03,美国
288,rmksun,MIIS@CMU,Rej,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2015-02-10,美国
289,JoyForce,CMU,Rej,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-11-15,美国
290,wds41138,MIIS@CMU,Rej,MS,CS,101(23),319+3,CE , 港本,  3.7, 海本,,15Fall,2014-12-10,美国
291,ForTheAC2015,CMU,Rej,MS,CS,,,, ,  , 本科Top30 211,,15Fall,2014-12-15,美国
292,gliglob,princeton,Rej,MS,CS,,,"cs,math ", ,  , 海本,,15Fall,2014-12-15,美国
293,m4reiiy,Toronto,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,加拿大
294,jimmyhbx,uMich，UMN，IUB,Offer,PhD,CS,106/22,154+168＋3,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,12.15,美国
295,brendaV,Informatics @ UCI,Offer,PhD,CS,107,161+170+3.0,CS , ,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,12.15,美国
296,m4reiiy,Michigan,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
297,cicean,UW,Rej,PhD,CS,106,328,CS , BIT,  82/200, 本科Top30 211,no,15Fall,2014-12-24,美国
298,snowymo,Princeton,Rej,PhD,CS,差,152+170+3.5,SE , ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
299,zxc12379,CS@UTD,AD无奖,MS,CS,85,309,软件工程 , 浙江大学,  GPA3/4  排名未知 总之挺渣, 本科：南大，浙大，复旦，上交,无背景,15Fall,2015-01-01,美国
300,Tsien,UCSD,AD无奖,MS,CS,,,, ,  , 本科其他211,,15Fall,2014-11-10,美国
301,lalatiantian,UCSD,AD无奖,MS,CS,102,322+3.5,, ,  , 本科Top30 211,,15Fall,2014-11-01,美国
302,eonian,UCSD,AD无奖,MS,CS,109,162+170+3.5,, FDU,  3.7/4, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-05,美国
303,619899442,UC San Diego,AD无奖,MS,CS,,,major, Ocean Engineering && Minors, Computer Technology and Application , SJTU,,15Fall,2014-12-15,美国
304,ryan_sun,UCSD,AD无奖,MS,CS,111,323,CS , FDU,"  3.4/4.0, 排名30%", 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
305,xcheee,Stevens,AD无奖,MS,CS,98 S:23,没到310  写作3,CS , 985重点大学,  77.7, 本科Top15 211,BAT研发实习+MS工程院研发实习,15Fall,2015-01-15,美国
306,begg930,MIIS@CMU,Rej,MS,CS,104(22),153+170+3.0,信息工程 , SJTU,  3.74/4.3, 本科：南大，浙大，复旦，上交,有一个data mining的research投了个会，感觉不会中，只有这一个科研项目，没有实习,15Fall,12.10,美国
307,wcyz666,CS@Prinston,Rej,MS,CS,"110(29,30,23,28)",329+3(159+170),IE , CUHK,  3.80(major,3.91),本校教授推荐信，有科研有小公司实习无paper,15Fall,2014-12-01,美国
308,HackerYoung,Princeton,Rej,MS,CS,111(23),157+170+3.5,CS , 港本,  3.78/4, 海本,,15Fall,2014-12-13,美国
309,gc1993114,princeton,Rej,MS,CS,109（23）,323（3）,信息安全 , SJTU,  86.7, 本科：南大，浙大，复旦，上交,澳洲交换水科研＋sjtu科研水实习＋任课老师一封,15Fall,2015-02-15,美国
310,cuchulainnut,Princeton,Rej,MS,CS,104(S22),157+170+3.5,CS , SJTU,  89/100 Top5%, 本科：南大，浙大，复旦，上交,国际水会一作一篇,15Fall,2014-12-03,美国
311,甘蓝白芷,IIT,AD无奖,PhD,CS,28+23+22+21,152+167+3,Stat , ,  4.23/5.0, 本科：南大，浙大，复旦，上交,无,15Fall,2015-01-15,美国
312,intaglio,SIT,AD无奖,MS,CS,,,SE , ,  , 本科其他211,,15Fall,1.15,美国
313,马马帅,UTD,AD无奖,MS,CS,,,, ,  , 本科其他211,,15Fall,2015-01-01,美国
314,xiaoxiaob1989,GWU,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-31,美国
315,zhangyue823,GW,AD无奖,MS,CS,102（22）,155+165,自动化 , 同济大学,  82, 本科Top15 211,工作半年,15Fall,2014-12-25,美国
316,lalatiantian,GW,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-15,美国
317,uranus23,GWU,AD无奖,MS,CS,105(22),154+168+3,SE , SCUT,  3.44/4 rank, 16/245,,15Fall,2015-01-10,美国
318,古风,GWU,AD无奖,MS,CS,,,ME , ,  3.4/4.0(wes), 本科其他211,,15Fall,2015-01-10,美国
319,happyrabbit,GW,AD无奖,MS,CS,waived,155+168+3.0,, ,  , 本科其他211,,15Fall,2015-01-13,美国
320,Pluto,GWU,AD无奖,MS,CS,waived,320+3.0,, ,  ,,,15Fall,2014-12-11,美国
321,Maestro5563,CS@GWU,AD无奖,MS,CS,93,316,EE , ,"  2.85/4 , 排名未知",,,15Fall,2015-01-22,美国
322,whyvic13,NUAA,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-12-10,美国
323,zzj,WPI,AD无奖,MS,CS,88(S23)渣到不行,322,CSIE , FJU,TW,  88/100 3.52/4 3/60,,15Fall,2014-11-24,美国
324,zhan8803705,WPI,AD无奖,MS,CS,103(23),151 170 3,Software Engineering , HNU,  3.27, 本科Top30 211,,15Fall,2015-01-18,美国
325,schnappi,WPI,AD无奖,MS,CS,99（20）,152+165+3.0,信息工程 , BUPT,  3.2, 本科Top30 211,有两年CNPC的IT运维工作经验,15Fall,2015-01-10,美国
326,ChaosandCosmos,wpi(Worcester Polytechnic Institute),AD无奖,MS,CS,91,149+165+3.0,, ,  83(加权平均), 本科Top30 211,国内大公司实习,15Fall,2015-01-14,美国
327,simba123,U Delaware,AD无奖,PhD,CS,waived,322+4.0,, ,  , 本科Top30 211,三封研究生学校的推荐信,15Fall,2015-02-01,美国
328,weiserwx,IUB,Offer,PhD,CS,,145+167+3.0,, ,  , 海本,一神牛推,15Fall,2014-11-15,美国
329,372284362,CSE@Umich,Offer,PhD,CS,98 (S22),151 + 170 + 3.0,ECE , UM-SJTU JI,  3.7 / 4.0 Rank, 12 / 108,发表过jsac+一个水会+一个水水会；推荐信一个umich来上过数据结构课的老师（申请的他的phd）；一个research老板加通信相关课程老师；一个数学课老师加助教老板,15Fall,2014-12-01,美国
330,alc9700,GWU,AD无奖,MS,CS,25+25+20+20=90,V157+Q163+AW2.5,, ,  , 本科非211,,15Fall,2014-12-01,美国
331,schnappi,GWU,AD无奖,MS,CS,,,, ,  ,,,15Fall,2015-01-08,美国
332,tangyuhan123,HARVARD,AD无奖,MS,CS,,,, ,  , 海本,,15Fall,2014-12-14,美国
333,414337290,Harvard,AD无奖,MS,CS,,"325(155,170)",Mechanical E , Gatech,  3.89, 海本,三学期research，三个associate prof推荐,15Fall,2014-12-12,美国
334,ycagwyw,WPI,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-21,美国
335,minta,SIT,AD无奖,MS,CS,97,318,, ,  3.5, 本科Top30 211,BAT实习,15Fall,2015-02-03,美国
336,whdawn,UW-Madison,Rej,MS,CS,100 (23),154+167+3,EE , CQU,  89/100, 本科Top30 211,没用牛推,15Fall,2014-11-26,美国
337,nickyzhi,McGill,Rej,MS,CS,,,, BUPT,  , 本科其他211,,15Fall,2014-11-30,加拿大
338,playerkk1025,Brown University,Rej,PhD,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-12,美国
339,m4reiiy,UWashington,Rej,PhD,CS,,,, ,  ,,,15Fall,2014-12-1,美国
340,slxu,UW Seattle,Rej,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
341,xlhdh,UW,Rej,PhD,CS,,,, ,  , 海本,,15Fall,2014-12-01,美国
342,littlekobewx,Purdue,Offer,PhD,CS,102（S22）,151 168 3,CS , ZJU,  3.85（88.5）, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
343,Pandaman,NC State University,Offer,PhD,CS,,,, hust,  , 本科Top30 211,,15Fall,2014-12-01,美国
344,markqzheng,NCSU,Offer,PhD,CS,96(20),324+3.0,, ,  3.3/4.0, 本科Top15 211,IEEE 3篇一般论文(2一作，1三作),15Fall,2014-12-14,美国
345,ccty2013,NCSU,Offer,PhD,CS,27+20+22+24,153+169+3,CS , BUPT,  84.7, 本科：北大，清华，科大，中科院，特色学校牛专业,三段实习经历（一个IBM研究院） 5篇水文（3篇已发表）,15Fall,2014-12-15,美国
346,snowymo,NCSU,Offer,PhD,CS,差,152+170+3.5,SE , ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
347,czhsuccess,IUB,Offer,PhD,CS,98（19）,154+165+3,, ,  , 本科Top30 211,无牛腿,15Fall,2014-12-10,美国
348,snowymo,NYU,Offer,PhD,CS,太差,152+170+3.5,SE , ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-12,美国
