,GRE,TF,grad_gpa,grad_rank,username
935,321+3.5,104,  90/100, 本科：南大，浙大，复旦，上交,鸣翠柳的阿狸
936,150+168+3,100（s22）,  4.54/5，17/160+, 本科Top15 211,yougmark
938,154+168+3,29+29+20+21,  84.4/100, 本科Top30 211,lunarscar
939,我写出来给大家长长信心吧147(V)+166(Q)+3.0,102(22),, 本科Top30 211,Lilzy
942,152+170+3.5,108,  3.5/4.0, 本科Top30 211,hp257
945,163+170+4,119(writing -1),  3.74, 海本,gz3229
947,310,95,  2.3, 本科非211,smallmikko
951,,,  top15%, 本科：北大，清华，科大，中科院，特色学校牛专业,christy.zhang
955,153+170+3.5,,  3.75, 海本,xli294
956,149+164+2.5,92(20),, 本科Top15 211,xcw0420
959,152+170+3.0,IELTS 6.5(8.0+6.5+6.0+6.0),  85(12/96), 本科Top30 211,409661331
960,154+170+3.5,108,"  3.63/4,3.66/4", 本科Top15 211,oh_baizhima
961,,,  3.70/4.0, 海本,JunlinZhu
962,150+169=319,27+28+22+25=102,  3.57/4, 本科Top15 211,ee470474137
971,170 155 325,28 29 23 28 = 108,  3.73/4.0 3/76, 本科：南大，浙大，复旦，上交,ywmaggie
973,V158Q170+AW3.0,108=L29S23R29W27,  90.3，top10, 本科：北大，清华，科大，中科院，特色学校牛专业,breezet
978,158+170+4,111,  3.89/4,,zcrunsun
1007,154+167+3,103(S:23),  89/100 (Major, 90/100),albja
1008,326 3,105(23),  30%, 本科Top30 211,fengzhiyu17
1028,319=151+168+3.5,108=28+27+26+27,  4.16/5  rank,23/70,Paul_Zhang
1036,not required,waived,  3.89/4.00, 海本,aoisky
1039,328,108,  3.95/4.0，武大算法； 1/51, 本科Top30 211,yy80884676
1048,325,,, 海本,ilyak
1050,319+170+3,101,  81/100, 本科：南大，浙大，复旦，上交,zhuce_yige
1059,,,"  86.67, 2/14", 本科Top30 211,alanthink
1060,324+4.0,106,  3.54/4.0, 本科：南大，浙大，复旦，上交,eypw152
1063,150+170+3.5,95(20),  91.1  (3.64)  (1), 本科Top15 211,wawjchinawct
1064,331 + 3.0,111 (S 22),  90/100， top 20, 本科：北大，清华，科大，中科院，特色学校牛专业,Fantasy
1065,154+167+3,109(27),  87.56, 本科Top30 211,yifan0129
1068,143+164+3,,  3.65/4, 海本,lululillian
1069,156  163  3,97(23),, 本科非211,一米
1073,"320=150+170,3.0",99=27+26+22+24,, 本科Top15 211,cqq2014
1076,322,101(23),  84.8, 本科Top30 211,ypandxy
1077,320 152+168+3.0,94,  85多, 本科非211,刘心惠
1079,149+168+3.5,106,  3.9/4.0, 海本,shangmo
1082,V151 Q170 AW3,103(23),  3.62, 海本,ray1213
1084,327+4,112,, 海本,offfer
1092,,,  80.88, 本科Top30 211,nnq
1098,321,98,  3.6, 海本,ceclinux
1101,320+3,104（19）,  88  3.6   2/26, 本科Top15 211,bryanjhy
1116,153+162+3.5,waive,  3.81/5, 本科Top30 211,moonsky219
1119,,,  87, 本科Top30 211,Pandaman
1125,,,  3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,versemonger
1127,153+167+3.0,97(19),, 本科Top15 211,forestwn
1133,,,  3.4, 本科其他211,Sayings
1134,,,  80/100, 本科其他211,kraks
1135,,Waive,  3.5/4.0, 海本,香草可乐
1147,156+170+3.5,104,  3.55/4.0, 本科Top15 211,rier2011
1149,151+170+3.0,96,  3.83/4.0 排名15/150, 本科Top15 211,蓝色蝶殇
1162,318,98(22),"  86.3/100, 8/90", 本科Top30 211,allenjack123
1164,"330(V: 160, Q: 170)+ AW 3.0","103(R:28, S:22, L: 25, W: 28)",  3.72/4.3, 海本,hanxiaojin21
1170,154+170+3.5,96,  3.3, 本科：南大，浙大，复旦，上交,renyuxiang
1178,,,  3.53/4, 本科：南大，浙大，复旦，上交,excellent5
1179,154+170+3.5,102（22）,"  88,2/59", 本科非211,wtyelu
1180,,,  3.78/4, 本科Top30 211,hhhhchen
1189,307 + 3,97（24）,  3.57, 本科其他211,aegis
1190,313+3.0,97,  3.2/4, 本科非211,ingerido
1197,162/V 168/Q 3.5/A.W,"110 30/R, 28/L, 24/S, 28/W",, 本科Top30 211,jerrypiglet
1200,150+168+3.0,WAIVED,  3.72, 海本,remix
1202,152+167+3.0,98,  3.5/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,lymustc
1203,151+168+3,100(s19),  83.3/100, 本科Top15 211,listen8019
1215,153+167+3.5,103(s23),, 本科：南大，浙大，复旦，上交,MMaiGRE
1218,151 164 3.0,87,  3.3, 本科其他211,starwp
1220,329+3.5,97（S22）,, 本科：北大，清华，科大，中科院，特色学校牛专业,lhjbj
1221,V151+Q165+4,107（S23),  3.3, 本科Top30 211,srxiaoj
1222,151+168+3.5,107(s23),  92, 本科Top15 211,nanaslipdada
1223,314+3.0,96(18),  3.51, 本科Top30 211,hanyu
1232,157 + 170 + 3.5,109(24),"  4.57/5, 10/160", 本科Top30 211,albusshin
1238,323+3.5,101,, 本科：南大，浙大，复旦，上交,nnwoshinn
1239,318,waived,  3.4/4.0, 海本,李大牛
1242,318(153+165),102(S22),  3.75/4.3; Major 4.05/4.3, 海本,北游少年
1247,160+167+3,29+27+22+25=103,  87.2, 本科Top30 211,jodeapple
1248,1360+3.0,102,, 本科其他211,yiding2012
1250,152 + 167 + 3.5,106 （S22）,  85，major 88，rank 6/31, 本科其他211,CeciliaM
1253,153 170 4.0,117（30 30 28 29）,  87/100，6/40, 本科：南大，浙大，复旦，上交,面无表情
1255,147+166+3,,  3.64, 海本,rover
1257,320+3.0(150+170),104(30+22+23+29),  3.62/4.0, 本科Top15 211,hjx447297354
1259,148+170,92,  84,,z1994
1262,159+168+2.5,96,  3.53/4, 本科Top15 211,themis00
1270,319 3.0,100(20),,,neverland785
1271,165+170,108,, 本科：北大，清华，科大，中科院，特色学校牛专业,surdcn
1272,163+170+3.5,119,  91/100, 本科：北大，清华，科大，中科院，特色学校牛专业,bessywang1993
1276,"170,160,4.5, 330","30,30,28,27, 115",  3.73, 海本,alexontheway
1277,316 V149 Q167 3,105 R28 L24 S26 W27,  83, 本科：北大，清华，科大，中科院，特色学校牛专业,mqcherry
1280,151+170+3.0,100(23),  89, 本科：北大，清华，科大，中科院，特色学校牛专业,UpDownDOTA
1281,152+169+3,93,  Top 5%, 本科：南大，浙大，复旦，上交,New613Life
1286,149+167+3.0,29+28+24+23=104,  3.3/WES TOP20%, 本科其他211,喵星人阿布
1289,154+167+3.5,105(23),  3.5/4.0 浙大算法, 本科Top15 211,Hmzzz
1291,,Waive,  3.7/4.0, 海本,DangerousMJ
1292,153+166+3.0,Waive,  3.83/4, 海本,csy921125
1297,323+3.0,102,, 本科：南大，浙大，复旦，上交,laiguojiuhao
1301,149+170+3.5,94(S:20),  86，major,88 （1/92）,UCLA_andy
1318,V158 Q170 AW4.0,R30+L22+S22+W27 = 101,  Rank 40%, 本科：北大，清华，科大，中科院，特色学校牛专业,J-Miao
1322,328,waive,  3.74, 海本,shenroong
1324,155+170+3.5,104(24),  3.7, 本科Top15 211,superxiaoding
1325,320+3.5,98(S19),  76/100, 本科：北大，清华，科大，中科院，特色学校牛专业,mayyyyyy
1329,154+167+4.0,108（s23）,  89.2（算自己修的CS课）, 本科：北大，清华，科大，中科院，特色学校牛专业,leyichm
1362,153+170+3.5,26+26+19+30=1,  3.59、4.00, 本科Top30 211,sharpyyoung
1365,322,105,  83, 本科Top15 211,kcidymckus
1370,325,107(S24),  3.76/4, 本科Top15 211,sherry900629
1376,323,105,  91, 本科Top15 211,wanghwadad
1379,142+168+3.0,99(S:20),  3.24 5/32, 本科Top30 211,skiphoop
1391,315+3,97 S19,  3.78/4, 本科Top30 211,xuzhiyuan1528
1408,,,  3.74/4, 本科Top30 211,apologize119
1412,152+170+3.5,104(23),"  3.68/4.0, 8/70", 本科：南大，浙大，复旦，上交,rp_cai
1416,151+170+3,103（23）,,,aimar_07
1417,,101,  前10%, 本科Top30 211,一席寂然
1418,,,  3.63, 本科非211,jiamuxeuer
1424,170+154,102,, 海本,zhangjiweikiwi
1426,320(3),102(23),  3.2/4.0 top10%, 海本,Joe.TANG
1428,v162q165,110,, 本科非211,haiyan
1429,154+166+3.0,102(S18) 96(S23),  88.7, 本科：南大，浙大，复旦，上交,ShawnG
1432,317,101,  3.4, 本科Top15 211,magorium
1434,157+170+3.5,109（22）,  86.76, 本科Top30 211,小蝈蝈
1438,154+167,104,, 本科：南大，浙大，复旦，上交,yanzhufanchen
1445,,,  3.4, 本科Top30 211,xuehongfa
1449,320+3,100(s23),  87/100, 本科Top30 211,zhangdakan
1450,325+3,97(19),  86/100, 本科Top15 211,hikigeki
1462,156+166+3.5,IELTS 7.5 (单项不低于6.5),  88.6/100; UCI, 3.71,JerryCheung
1469,147+163=310 AW=3.0,92(s:22),,,justin1534
1472,147 168 3.0,96 S:22,  86.75, 本科Top15 211,工图新一
1474,327,106,,,LLLLLIIIII
1476,149+169+3,103,  83/100, 本科：北大，清华，科大，中科院，特色学校牛专业,fillchar
1487,323+3.5,101（22）,  86.8, 本科Top30 211,Kevin946939
1489,152 170 4.0,,  3.5/4, 本科：南大，浙大，复旦，上交,zhangrf
1491,没考,没考,, 本科Top15 211,zeazy
1497,144+170+4,103（23）,  3.7/4, 本科Top15 211,shadow7429
1503,154+169+3.5,101(23),  84.56, 本科：北大，清华，科大，中科院，特色学校牛专业,vzhudiv
1511,,,  88.05 (2/117), 本科Top15 211,小夹子
1532,319,107,, 本科Top30 211,liaoaoyuan
1541,"Verbal 153, Math 168, Writing 3.5",,, 海本,ntooto
1548,157 + 170 + 3.5,101 (s22),  GPA," 92.2, Rank",SophieLiu
1550,,,  3.5/4.0, 本科Top30 211,tommylin
1867,Verbal 94% Math 100% AW4.5,,, 海本,OneHeart
1868,151+170,103,  3.53, 本科Top30 211,perthblank
1869,331+3,105,  85,,jigsaw_Becky
1871,308=V144+Q164+AW2.5 (丢人的低分),82=R24+L20+S19+W19 (丢人的低分),  79/100(WES,3.01/4),U.S.A
1877,147+167+3.5,96(s20),, 本科非211,tcsoo_
1878,328(3),98(19),  87.9, 本科Top30 211,Hellcat
1888,,,  psychology, 本科：南大，浙大，复旦，上交,Liaeve
1889,157+168+3.5,WAIVE,  3.66/4.0， 1/44, 本科Top15 211,ieijkd
1890,V150+Q170 = 320 + AW 3.0,R27+L28+S20+W28 = 103,  3.39/4, 本科Top15 211,安如画
1893,157+170+3.0,29+28+23+29=109,  84/100. 19/33, 本科：北大，清华，科大，中科院，特色学校牛专业,saeryn
1895,"320 = 150V + 170Q, 3.0",99 = 30R + 25L + 19S + 25W,  3.32, 本科非211,chuqixiaozhu
1904,324+3,106(23),  3.73/4 (89.2/100), 本科Top30 211,ForeverZard
1909,,,  3.4/4, 本科其他211,yuyuyu0905
1919,154 170 3.0,95,  3.91 3%, 本科非211,ggoddawn
1920,320,90,  3.7/4.0, 本科Top15 211,hahamty
1935,320,92,, 本科：南大，浙大，复旦，上交,靖海听潮
1937,150+170,101,  89, 本科Top15 211,wjq987564321
1944,153+167+3,103,, 本科：南大，浙大，复旦，上交,理致远
1951,316,,  3.6, 海本,illc1991
1955,320+3.0,104(S22),, 本科Top15 211,vivienqqqq
1956,150/170/3.0,,  3.8/4, 本科非211,jiaowcg88
1959,326(156/170/3.0),104(22),  3.15(5/13), 本科：北大，清华，科大，中科院，特色学校牛专业,dokolo
1961,127,104,  3.8+, 本科：南大，浙大，复旦，上交,CindyWen
1962,325+3,110,  3.7, 海本,Sindy_
1966,318,105,  84.3, 本科非211,Aix
1973,,98,, 本科非211,msj6185
1976,324+3.0,106,  3.80, 本科Top30 211,determing
1979,V152+Q168+AW3.5,R29+L26+S23+W26=104,  3.5/4.0, 本科其他211,liuyelei0621
1981,,,  3.15, 本科Top15 211,pengpengwei
1982,150+170+3.0,R28 + L28 + S19 + W26 = 101,  3.16/4, 本科：南大，浙大，复旦，上交,dczmydc
1983,322,105,  90.88, 本科其他211,yzcaoye
1984,,,  2.92, 本科非211,hochipun
1986,317,91,  3.79 WES, 本科非211,bentan_007
1992,317,97,, 本科Top15 211,brightyang
1993,,,  均分90, 本科非211,ssphia
2008,150+170+3.5,waive,  3.7, 本科：南大，浙大，复旦，上交,jzdaizeyu
2010,159 170 329,30 29 24 28 111,  3.9, 海本,zblzcj
2015,155+170+4.0,106(S23),  93.3/100, 本科Top15 211,steveyang94
2023,328(V158+Q170)+4.0,R29+L29+S20+W27=105,"  93.51/100, 3.92/4(WES), 1/137", 本科Top15 211,lym953
2034,310,89,, 本科Top30 211,popolee
2037,147/170/3.5,105  (19),  83.4, 本科：南大，浙大，复旦，上交,tsuruya
2042,319+3.5,98,, 本科：南大，浙大，复旦，上交,Ciciright
2044,155 170 3.0,100(22),  90.4, 本科：北大，清华，科大，中科院，特色学校牛专业,goha111
2047,323,106,  3.3,,JerryLi
2057,149+170+3.5,28+29+26+28=111,  3.67/4 2/110, 本科Top30 211,sdlny
2063,157V+170Q=327,,  3.66, 海本,timatim
2065,150 170 3.5,29 26 22 27,, 本科非211,Aloysia1225
2066,320,30+24+23+29,  3.5, 本科：南大，浙大，复旦，上交,苏缘Suyuan
2072,324 3.0,104,  3.0, 本科非211,h707705427
2074,153 170 3,97 s22,  83.1, 本科Top30 211,李土它
2075,150+170+3.0,104,  86.38, 本科Top15 211,dongsgnod
2080,152+164+3.0,94(19),  85/100, 本科Top15 211,ywhust
2081,153+166+3,104(23),  3.39/4, 本科其他211,fanta
2082,319+3.0,95,  3.25/3, 本科Top15 211,zhiz21
2083,147+170+3,99(s22),  3.04/4.00, 本科Top15 211,tonycy0
2085,152+170+3.0,IELTS 6.5,, 本科Top30 211,Frank_ljw
2093,158/165/3.0,waive,  Ranking 1/166, 本科Top15 211,y_form
2094,V158Q170AW4.0,R28L28S22W28=106,"  3.73,3.93", 本科：南大，浙大，复旦，上交,李十一次郎
2096,154+170+3.0,105(S24),  86.7, 本科Top15 211,JBY2016
2097,,,  3.91/4, 本科：南大，浙大，复旦，上交,锦字难偶
2098,324+3.5,109,  3.96, 本科：南大，浙大，复旦，上交,laurantmanaco
2099,159+170+4.0,,  3.87, 海本,terryliutc
2103,327+3.0,109(23),, 本科：北大，清华，科大，中科院，特色学校牛专业,jty2005
2105,157+167,,  3.72, 海本,kingkingkiki
2107,,,  3.85 / 87, 本科：南大，浙大，复旦，上交,musteryu
2111,720,106（24）,  3.3/4，WES 3.42,,Gloria_S
2112,无g,无t,, 海本,ShangShang123
2113,317,105,  75+, 本科：北大，清华，科大，中科院，特色学校牛专业,wwxhero
2114,148+170+2.5,n/a,"  overall 3.89/4, major 3.98/4", 海本,wlj2100
2115,,,  3.3/4, 本科Top15 211,路人甲子
2119,316,98,  89.6, 本科其他211,cc9895
2120,321,103,, 本科Top30 211,mt.Arch
2122,322+3,97,  3.7/4, 本科其他211,solar12138
2125,150+168+3.5,95,, 本科Top30 211,amanda9819
2126,324+3,IELTS 7.0,  3.17/4, 本科Top30 211,laobulang
2130,322+3,101,  86.9, 本科Top30 211,wnbaicai
2141,325 V155 Q170 AW3.5,101 S20,, 本科Top15 211,hitnoah
2150,326,109,  85, 本科Top30 211,marooned
2151,322+3.0,102,  3.4/4.0, 本科：北大，清华，科大，中科院，特色学校牛专业,lipopoxin
2152,142 + 165 + 3.5,Waive,  3.70, 海本,weihe2015
2158,313,95,  3.17, 本科其他211,乌龟大师
2161,148+170,94(22),  3.26, 本科Top30 211,Michal
2163,,107,, 本科：南大，浙大，复旦，上交,2016fallsteve
2164,328,104,,,okayfaner
2173,147+168 (3.0),96(20),  85 23/279, 本科Top15 211,潇湘pooh
2175,158 168 3.5,30 30 24 25 (109),  3.47 / 4.00, 本科：南大，浙大，复旦，上交,maticzc
2180,320+3,106(s23),, 本科Top30 211,LeeHooray
2187,320（V155 + Q165）， AW 3.0,雅思 7.0 （S 5.5）,  3.42/4， 30%, 本科Top30 211,喵大侠君君君
2188,328+3.5,111,  3.70/4.00, 本科Top15 211,phantomape
2196,157+168,106(23),  3.4/4, 本科Top15 211,crth
2203,321(153+168+3),101 (S22),  3.6/4.0, 本科Top15 211,西西可橙
2206,149 170 2.5,96,  86, 本科Top30 211,lilydiaz
2212,"152,167,3.0",81,  81.11/100, 本科其他211,jqbym
2219,319+3,100,  3.57/4, 本科：南大，浙大，复旦，上交,whitevh
2220,V 155 Q 170 AW 3,,  3.91/4.00, 海本,wuditharll
2221,327+3,105,  90/100 rank 5/110, 本科Top15 211,ljzml
2226,320,111,  90, 本科Top30 211,燃烧男
2231,"321,v157,q164,aw3.5",115(s27),  3.36, 本科Top15 211,chuyang
2233,160 168 3,,  3.9／4, 海本,lwill
2243,153＋67＋3.5,102 26,  3.16（30%）, 本科Top30 211,feifeijiejie
2248,144V+167Q+3.5W,,  3.74/4.00, 海本,哈哈笑个傻
2250,144+165=309,95/IELTS 7.0,  85, 本科Top15 211,s360564346
2252,144+168=312  AW 3,90(S19),  3.2, 本科非211,Anthonyrain
2266,153+170+3.5,108，S23,, 本科：南大，浙大，复旦，上交,pwwpche
2270,,,  3.2, 本科Top30 211,fay067
2277,,,  3.2/4, 海本,sky00high
2280,319(154 3.0),101(23),  84.8, 本科其他211,仔仔同学等offer
2281,149+170+3.5,104(s 23),  3.6, 本科Top15 211,susanaisai
2288,323+3（V156 Q167）,110（R30 L29 S27 W24）,  3.7/4.0, 本科Top30 211,jason_wang
2290,,,  3.75, 海本,fuqianran
2291,,97,, 本科：南大，浙大，复旦，上交,7andsowhat
2297,327（3）,97（20）,  3.4, 本科Top15 211,甜心
2301,323+3.0,105,  3.3, 本科Top30 211,609064231
2303,156+170+3,106 (26),  3.63 wes, 本科Top30 211,astrid0221
2305,325+3.5,108（22）,  3.52，17%, 本科其他211,FlynnWang
2312,324,102 (23),  89.89, 本科Top30 211,hi_ydy
2313,324+3,104,  3.73/4.0 1/26, 本科Top30 211,yyypasserby
2315,322/152/170/3.5,,  3.93/4, 海本,hopezmr
2318,319,107,  4.6/5.0  5%, 本科Top15 211,citystrawman
2319,,,  3.43/4 rank,4.8%,ysz0115
2323,324,103(26),  3.8, 本科Top15 211,CharlesLeeSysu
2327,153+170+3.5,w26+r25+s26+l28=104,  3.31, 本科：北大，清华，科大，中科院，特色学校牛专业,ryermit
2335,320,106,  3.6, 本科非211,qmn199232
2336,,,"  3.67/4.0, Rank 2/5", 本科非211,majia67
2338,152+170+3,105(S23),  86.21/100, 本科Top15 211,y6180070
2353,,,  88.2/100, 本科Top30 211,zhaotong0312
2357,325+4.0,115,, 本科：南大，浙大，复旦，上交,ellewoods2015
2368,320+3,103,  89.95/100, 本科其他211,黄金霸者
2378,324+3,97,  3.71/4, 本科其他211,kevinishere
2382,165+154+3/170+149+3.5,"28,23,23,25--99",  85, 本科Top30 211,chuck_long
2384,320(3.0),103,  3.7/4.0, 本科Top15 211,immiao
2385,152+170+3.0,101（s20）,  3.87, 本科：南大，浙大，复旦，上交,namelessness
2396,325+3,101,,,h497018787
2401,,,  3.25/4.0 or 83.37/100, 本科Top15 211,Alfredfeng
2404,157+170+3.5,98(19),  3.7/4.0, 本科Top30 211,paopao12345
2405,157+170+3,99(19),  86/100 RANK10/97, 本科Top15 211,clownxiao
2409,327 3,106,, 本科：南大，浙大，复旦，上交,comeon
2414,152+170+4,94,  3.22, 本科：南大，浙大，复旦，上交,oliviahoneyhu
2418,155+170+3.0,99(20),  88.5, 本科Top30 211,mpgszhyh
2419,"156, 166, 3.0",105(20),  89/100, 本科其他211,chuanshuozhiyi
2421,324 3,105（20）,  88.3/100, 本科Top30 211,aaaakristy
2424,324+3.5,112,  88/100, 本科：南大，浙大，复旦，上交,rafaliang
2436,152+168,109,  3.7/4.0, 本科Top15 211,mikemoto
2455,,,  3.9/4.0，专业第一, 本科Top15 211,linjiaweiok
2463,163+170+4,112（24）,  3.1/4（WES）, 本科Top30 211,vegito2002
2469,331,100,  3.56/4, 本科：南大，浙大，复旦，上交,hypsm
2485,,,  3.25/4, 本科Top15 211,gyzjay
2487,V152 M170 W3.0 322,R30 L27 S23 W24 104,  3.9/4.0，13, 本科Top15 211,eve178
2489,318+4.0,103,  86.81 RANK 3/100, 本科Top15 211,阿童木
2490,,,  3.64(4), 本科Top30 211,z-ling
2497,326+3.5,107,  85, 本科Top30 211,tyraell
2513,170+150,100,, 本科其他211,ykben
2524,327+3,100,  3.77 1%(219), 本科Top15 211,zzw
2525,327(157+170) AW3.0,106(S24),HK,  3.5/4.3(10%),hyzl1sdo
2526,320,105,  3.48, 本科：南大，浙大，复旦，上交,carly900
2528,314 (AWA3.0),94,  大学 86/100 研究所 91/100,,jasoncn123
2530,324+3.5,100(22),  89.72/100, 本科Top30 211,jiangxu456
2531,,,  3.66, 本科Top30 211,jessiegao
2533,329,106,  3.68/4, 本科Top30 211,liuguiliang123
2540,,,  3.8, 海本,firstfish1993
2547,147+165+3.0,85（17）,  80/100, 本科Top30 211,zhuzhuhoho
2549,324+3.5,102,  85, 本科：南大，浙大，复旦，上交,xyh
2553,326,,  3.86, 海本,jerrywangzi
2556,,,  3.5/4.0 排名,50/300,portofino
2566,152， 168， 4.5,waived,  3.67, 海本,go7going
2572,320-（渣）,98,  3.26, 本科：南大，浙大，复旦，上交,sjtuchris
2577,150+170+3,101(s22),  85/100, 本科Top30 211,SherryYu
2578,V152 Q164,96(22),  83.5/100, 本科其他211,oumizx
2589,318,100,, 本科Top15 211,helen14
2591,V152+Q170+AW3.5,S23+R30+L30+W27=110,  3.64/4.0  2/118, 本科Top15 211,洱海沧浪
2598,,,  3.9, 海本,ann_good2005
2602,327,102,  3.7/4.0, 本科：南大，浙大，复旦，上交,sbf1994
2604,322,104,, 本科：南大，浙大，复旦，上交,fjj0916
2605,152+170,100,  GPA 3.3, 本科Top30 211,Funky_QiQi
2612,150+167+3,90+,, 本科非211,richkate
2613,322+3,106,  79.3/100, 本科Top30 211,pplayboyy
2614,314,86,  85.5, 本科Top30 211,wad
2625,,waive,  3.5, 本科Top30 211,coderredoc
2628,,,  3.52, 本科Top30 211,kobeliujie
2630,326(V156 Q170)+3.0,108(R29 L28 S26 W25),  88.5/100 (3.65/4), 本科：北大，清华，科大，中科院，特色学校牛专业,hbisheng
2633,154 164 4.0,29 29 22 29,, 本科其他211,lisalinner
2638,1350,97,, 本科Top15 211,xiaojiujie
2639,150+170=320，写作3.5,27+27+22+26=102,  3.66/4 成绩中游水平，具体排名不知道, 本科：南大，浙大，复旦，上交,243630184
2641,318+3.5,101,  WES GPA 3.42, 本科非211,wjw2022
2645,"V148, Q170, AW3.0",,  86, 本科Top30 211,kristenwang23
2646,155+169+3.0,104,  3.5/4.0, 本科Top30 211,怒风逐日
2660,323,101,  83, 本科Top30 211,sensir
2662,322+3,104,  17/184, 本科：南大，浙大，复旦，上交,itsjoox
2666,147 170 3.5,99,  89/100，2/50, 本科非211,JingW0212
2669,316 (V:146 Q:170) AWA:3.0,94 (R:26 L:23 S:23 W:22),  3.94/4.0排名, 20%,punk86862011
2671,329+3.5,105(S24),  85, 本科Top30 211,pwwpcheng
2678,321,106,  88, 本科其他211,jihengzuanyong
2692,151+170+3,103（23）,, 本科Top30 211,端倪
2694,326+3.0,考了好几次T，都是90左右，已经不记得哪个学校投的哪个分数了。。。总有弱项。,  3.7, 本科Top30 211,eveshsh
2699,152+164+3,101(20),  3.64/4, 本科Top15 211,little_littfish
2701,327+3,104(22),  3.89, 海本,洗脑进行中
2702,322,102,  84.5/100, 本科Top30 211,wy3966
2708,332,107,  89, 本科Top15 211,离人笑
2709,324+3.5,108(23),  88%, 本科其他211,ctrlaltdelete
2714,327,106,  3.96, 本科Top15 211,slothOn
2715,,,  91.25 4分制3.63 ranking12/325, 本科Top30 211,laahaa
2716,,,  3.6/4.0, 本科非211,samurai_sz
2719,159 167 4,29 29 27 27 112,  85, 本科：南大，浙大，复旦，上交,smilingsoul
2723,163+168+3.5,IELTS7.5,  4/91, 海本,顶塔狂魔黄继光
2739,149+166+3.5,27 25 23 25(100),  84.7/100, 本科其他211,wanghx
2740,152+170+3,waived,  2.64, 海本,lishiming9
2744,322,106,  3.6, 本科Top30 211,wwyiyi
2746,,,  3.8, 本科其他211,pirateshadow
2747,151+163+3.0,,  3.62, 海本,dianedan
2760,316,85,  3.5, 本科其他211,0825jie
2761,320/3,101/s23,  3.64/4, 本科Top30 211,Seddas
2762,325,105,  3.89, 海本,ailsa4v
2763,149+167=316,26+26+22+22=96,  88, 本科其他211,潜水小鱼
2764,158+170+4,110(23),  3.99/4, 海本,MayYao
2766,332(162+170+3.5),108(27+29+23+29),  3.41, 本科：南大，浙大，复旦，上交,ultimecia7
2772,322,111,  87.7, 本科Top30 211,南方Giraffe
2776,319,94(19),  3.8/4, 本科Top15 211,songhm
2780,,,  84/100, 本科Top15 211,Michelleeeeee
2782,149+170+3,106(s23),  89.22(major 92.69)  1/300, 本科Top15 211,Harlan
2787,141+168+3.0,97 (s23),  3.83/4.0 Rank 2/140, 本科Top15 211,ryan7six
2791,316,100,, 本科非211,wakebb
2792,316,92 (S: 26),  3.19, 本科其他211,小张同学
2796,154+170+3,100（18）,  86/100，20%, 本科：北大，清华，科大，中科院，特色学校牛专业,Casesensiti
2808,325+3.5,107(S22),  3.2, 本科：北大，清华，科大，中科院，特色学校牛专业,dreamdew
2810,316,92,, 本科其他211,jasonxzh818
2811,,,"  3.6, 25/425", 本科其他211,jimrex
2815,154+168=322,30+26+22+23=101,  88.5  2/88, 本科Top15 211,tinysunhj
2817,150+170+3,Waived,  3.76/4, 海本,0.0sun
2820,148+170+3.0,,, 海本,omgzero
2822,156+170+3.0,102(23),  3.70, 本科Top30 211,anniepxl
2823,157+170+3.5,106(S23),  3.77/4.0   5/80, 本科：南大，浙大，复旦，上交,gaoyuan19930220
2824,320,waived,  3.7, 海本,cammyluffy
2825,160+170+4,waived,, 本科Top30 211,ivanifan
2829,,,  major 91.2, 本科Top15 211,JimmyZ
2833,320,101,  89/100 major92.5/100 rank1, 本科非211,Collision
2837,152+170+3.5,101（S19）,  3.7/15, 本科Top15 211,yipsama2
2838,"331 (161, 170, 3.5)","109 (30, 28, 27, 24)",  86, 本科：北大，清华，科大，中科院，特色学校牛专业,naco_siren
2839,159+167+3,雅思7,  3.49, 本科其他211,小学豆豆
2842,143+170+3.5,,, 本科Top15 211,Sin
2844,226+3,105（22）,  92.82, 本科Top15 211,sxm2357
2845,V153 + Q170 + AW4.0,waived,  3.83/4.00, 海本,CoolCapri92
2850,321,106,, 本科Top30 211,blairmn123
2853,163+170+4.0,107(S 23),  89/100, 本科非211,adsafsadf
2854,318,108,  3.69/4.0, 本科Top15 211,zhangxi1994
2856,327,112,  80/100 4.0/4.0, 本科：北大，清华，科大，中科院，特色学校牛专业,nickdgu
2857,324+3.5,112,, 本科：南大，浙大，复旦，上交,拿衣服
2860,311+3.0,91,  3.14, 本科非211,sunson331
2861,149+167+3.0,22+16+20+22=80,  2.8（WES）, 本科其他211,xavier90
2873,317,Waive,  3.64, 海本,linx0544
2875,322+3.5,102,  3.85/4, 本科Top30 211,sdlcenjoy
2878,162+170+3.0,108(S 24),  3.9, 本科：北大，清华，科大，中科院，特色学校牛专业,levythu
2879,158 + 170 + 3.0,R:28+L:29+S:23+W:26 = 106,  3.85(1/80), 本科：南大，浙大，复旦，上交,firebb
2881,154+170+3.5,105(s22),  3.9, 本科：南大，浙大，复旦，上交,nblintao
2882,327+4.0,110,  91, 本科：北大，清华，科大，中科院，特色学校牛专业,phisiart
2897,328＋3,101,  3.11, 本科Top30 211,Dangyi0811
2899,151+164-315+3（又是315总觉得有诈）,25+22+22+24,  92.6/100 1/95, 本科Top30 211,flyfollowing
2901,319,104,  3.72/4, 本科：南大，浙大，复旦，上交,Alice_koi
